client_profit_center_id,fiscal_year,month,volume
29,2023,12,0
29,2024,1,85
29,2024,2,127
29,2024,3,136
29,2024,4,64
29,2024,6,211
29,2024,7,292
29,2024,8,331
29,2024,10,82
29,2024,11,376
29,2024,12,72
30,2022,4,78
30,2022,5,46
30,2022,8,24
30,2022,9,6
30,2022,10,51
30,2022,11,26
30,2023,2,2
30,2023,3,4
30,2023,4,8
30,2023,6,10
30,2023,7,24
30,2023,8,17
30,2023,9,55
30,2023,10,24
30,2024,2,69
30,2024,3,95
30,2024,4,41
30,2024,6,47
30,2024,10,2
30,2025,2,2
30,2025,3,8
30,2025,4,6
30,2025,5,7
31,2024,8,4
32,2025,4,748
32,2025,5,841
33,2022,4,16
33,2022,5,23
33,2022,6,26
33,2022,7,13
33,2022,8,30
33,2022,9,18
33,2022,10,25
33,2022,11,30
33,2022,12,13
33,2023,1,11
33,2023,2,26
33,2023,3,46
33,2023,5,46
33,2023,6,19
33,2023,7,46
33,2023,8,13
33,2023,9,15
33,2023,10,15
33,2023,11,23
33,2024,1,11
33,2024,2,12
33,2024,3,42
33,2024,4,11
33,2024,5,26
33,2024,6,104
33,2024,7,356
33,2024,8,82
33,2024,9,148
33,2024,10,203
33,2024,11,46
33,2024,12,35
33,2025,1,160
33,2025,2,39
33,2025,3,52
33,2025,4,77
33,2025,5,11
34,2024,4,260
34,2024,7,135
34,2024,8,79
34,2025,1,459
34,2025,2,432
34,2025,3,777
34,2025,4,70
35,2022,6,2
35,2022,7,3
35,2022,8,18
35,2022,9,2
35,2022,11,30
35,2023,1,19
35,2023,4,30
35,2023,7,2
35,2023,9,6
35,2024,5,2
35,2024,9,7
35,2024,10,56
35,2024,11,0
35,2025,3,26
35,2025,4,1
35,2025,5,16
36,2022,7,518
36,2023,3,80
36,2023,5,46
36,2023,9,82
36,2023,10,0
37,2022,6,0
37,2022,8,6
37,2022,11,28
37,2024,11,15
37,2024,12,5
37,2025,3,15
37,2025,5,9
38,2024,8,5
39,2025,1,95
40,2023,3,663
40,2023,4,79
40,2025,3,71
40,2025,5,23
41,2022,4,60
41,2022,5,139
41,2022,6,11
41,2022,7,10
41,2022,8,23
41,2022,10,59
41,2022,11,3
41,2022,12,5
41,2023,3,20
41,2023,4,29
41,2023,5,30
41,2023,6,1
41,2023,7,35
41,2023,8,73
41,2023,9,10
41,2023,10,0
41,2023,11,30
41,2023,12,9
41,2024,1,1
41,2024,3,24
41,2024,4,27
41,2024,5,4
41,2024,6,1
41,2024,7,30
41,2024,8,17
41,2024,9,77
41,2024,10,53
41,2024,11,4
41,2024,12,3
41,2025,1,1
41,2025,2,90
41,2025,3,119
41,2025,4,48
41,2025,5,7
42,2024,10,15
42,2024,11,4
42,2025,1,4
43,2025,4,182
43,2025,5,149
44,2025,3,159
44,2025,4,184
44,2025,5,39
982,2022,11,89
982,2022,12,32
45,2022,4,306
45,2022,5,364
45,2022,6,230
45,2022,7,101
45,2022,8,325
45,2022,9,184
45,2022,10,333
45,2022,11,222
45,2022,12,33
45,2023,1,39
45,2023,2,238
45,2023,3,135
45,2023,4,181
45,2023,5,98
45,2023,6,158
45,2023,7,191
45,2023,8,73
45,2023,9,330
45,2023,10,303
45,2023,11,138
45,2023,12,3
45,2024,1,126
45,2024,2,319
45,2024,3,95
45,2024,4,315
45,2024,5,248
45,2024,6,199
45,2024,7,174
45,2024,8,130
45,2024,9,229
45,2024,10,463
45,2024,11,243
45,2024,12,205
45,2025,1,75
45,2025,2,988
45,2025,3,236
45,2025,4,193
45,2025,5,519
46,2022,4,25
46,2022,6,10
46,2022,7,6
46,2022,9,34
46,2022,10,4
46,2022,11,14
46,2023,2,22
46,2023,5,40
46,2023,6,15
46,2023,7,21
46,2023,8,1
46,2023,9,21
46,2023,10,2
46,2023,12,2
46,2024,1,20
46,2024,2,27
46,2024,4,15
46,2024,5,1
46,2024,6,28
46,2024,8,4
47,2023,12,1
47,2024,1,1
47,2024,2,0
47,2024,4,1
47,2024,7,2
47,2025,3,0
48,2024,10,63
48,2024,12,-9
49,2023,11,3
983,2022,6,82
50,2022,4,74
50,2022,9,0
50,2022,10,0
50,2022,11,0
50,2023,3,0
50,2023,6,51
50,2024,2,7
50,2024,4,6
50,2024,6,30
50,2024,10,65
50,2024,11,77
51,2022,4,78
51,2022,5,16
51,2023,3,8
51,2023,5,5
52,2022,4,55
52,2022,6,88
52,2022,8,32
52,2022,9,29
52,2022,11,24
52,2023,12,48
52,2024,1,5
53,2024,9,76
54,2024,2,62
54,2025,3,62
55,2024,12,30
55,2025,1,0
55,2025,2,0
55,2025,4,6
56,2025,2,2
57,2023,2,435
57,2023,3,0
57,2023,4,77
57,2023,7,60
57,2023,10,20
57,2024,2,5
57,2024,8,65
57,2024,9,33
57,2024,10,42
57,2024,11,45
57,2025,2,74
57,2025,3,41
57,2025,4,305
58,2022,4,145
58,2022,5,69
58,2022,7,76
58,2022,8,76
58,2022,9,142
58,2022,11,141
58,2023,1,76
58,2023,2,114
58,2023,3,69
58,2023,9,38
58,2023,11,116
58,2024,1,69
58,2024,2,127
58,2024,3,26
58,2024,4,125
58,2024,6,73
58,2024,8,37
58,2024,9,75
58,2024,10,74
58,2025,1,73
58,2025,4,154
59,2023,9,79
59,2023,10,79
59,2024,2,69
59,2024,4,46
59,2024,11,56
60,2024,8,12
60,2024,10,8
60,2024,11,16
61,2022,5,13
61,2022,6,35
61,2023,1,25
61,2023,6,9
61,2024,1,24
61,2024,3,2
61,2024,5,14
61,2024,10,29
61,2024,11,12
61,2025,2,19
61,2025,5,0
62,2022,8,2
62,2023,6,2
62,2023,7,33
62,2023,9,10
62,2023,10,48
62,2023,12,5
62,2024,5,14
62,2024,7,62
62,2024,10,7
62,2025,5,2
63,2022,4,166
63,2022,5,166
63,2022,6,108
63,2022,7,84
63,2022,8,363
63,2022,9,86
63,2022,10,352
63,2022,11,184
63,2023,1,82
63,2023,2,66
63,2023,3,186
63,2023,4,126
63,2023,5,168
63,2023,6,298
63,2023,7,245
63,2023,8,153
63,2023,9,146
63,2023,10,286
63,2023,11,288
63,2023,12,59
63,2024,1,333
63,2024,2,502
63,2024,3,357
63,2024,4,305
63,2024,5,212
63,2024,6,225
63,2024,7,168
63,2024,8,84
63,2024,9,651
63,2024,10,285
63,2024,11,248
63,2024,12,64
63,2025,1,231
63,2025,2,402
63,2025,3,364
63,2025,4,62
63,2025,5,203
64,2024,11,49
65,2022,4,5
65,2022,5,11
65,2022,10,16
65,2023,7,16
65,2023,8,56
66,2022,4,2
66,2022,5,11
66,2022,6,0
66,2022,7,14
66,2022,8,0
66,2023,1,0
66,2023,3,0
66,2023,6,2
66,2023,7,1
66,2023,11,3
66,2023,12,1
66,2024,1,10
66,2024,4,2
66,2024,7,1
66,2024,8,1
66,2024,11,1
66,2024,12,1
66,2025,4,2
66,2025,5,2
67,2024,3,0
68,2024,7,88
68,2024,8,24
69,2022,7,26
69,2022,10,24
69,2023,2,4
69,2023,3,39
69,2023,4,56
69,2023,5,128
69,2023,6,47
69,2023,7,21
69,2023,8,19
69,2023,9,136
69,2023,10,46
69,2023,11,174
69,2023,12,1
69,2024,1,47
69,2024,2,74
69,2024,3,91
69,2024,4,67
69,2024,5,28
69,2024,6,45
69,2024,7,71
69,2024,8,61
69,2024,9,210
69,2024,10,62
69,2024,11,88
69,2024,12,0
69,2025,1,127
69,2025,2,53
69,2025,3,35
69,2025,4,32
69,2025,5,29
70,2022,4,471
70,2022,5,574
70,2022,6,770
70,2022,7,781
70,2022,8,1150
70,2022,9,1366
70,2022,10,379
70,2022,11,637
70,2022,12,483
70,2023,1,1056
70,2023,2,544
70,2023,3,773
70,2023,4,437
70,2023,5,431
70,2023,6,453
70,2023,7,666
70,2023,8,345
70,2023,9,543
70,2023,10,415
70,2023,11,402
70,2023,12,300
70,2024,1,390
70,2024,2,431
70,2024,3,323
70,2024,4,564
70,2024,5,625
70,2024,6,327
70,2024,7,336
70,2024,8,141
70,2024,9,308
70,2024,10,320
70,2024,11,513
70,2024,12,202
70,2025,1,374
70,2025,2,357
70,2025,3,350
70,2025,4,300
70,2025,5,281
71,2022,4,3
71,2022,10,3
71,2023,12,6
