ID,ClientProfitCenterID,BudgetMonth,BudgetYear,Amount
247,118,4,2024,406
248,118,5,2024,433
249,118,6,2024,433
250,118,7,2024,298
251,118,8,2024,244
252,118,9,2024,433
253,118,10,2024,433
254,118,11,2024,379
255,118,12,2024,122
256,118,1,2025,149
257,118,2,2025,298
258,118,3,2025,352
259,118,4,2025,243
260,118,5,2025,269
261,118,6,2025,281
262,118,7,2025,283
263,118,8,2025,235
264,118,9,2025,307
265,118,10,2025,297
266,118,11,2025,286
267,118,12,2025,129
268,118,1,2026,222
269,118,2,2026,248
270,118,3,2026,321
271,93,1,2024,147
272,93,2,2024,295
273,93,3,2024,348
274,93,4,2024,402
275,93,5,2024,429
276,93,6,2024,429
277,93,7,2024,295
278,93,8,2024,241
279,93,9,2024,429
280,93,10,2024,429
281,93,11,2024,375
282,93,12,2024,121
283,93,1,2025,147
284,93,2,2025,295
285,93,3,2025,348
286,93,4,2025,197
287,93,5,2025,218
288,93,6,2025,227
289,93,7,2025,229
290,93,8,2025,190
291,93,9,2025,248
292,93,10,2025,240
293,93,11,2025,231
294,93,12,2025,104
295,93,1,2026,179
296,93,2,2026,201
297,93,3,2026,260
298,63,1,2024,112
299,63,2,2024,224
300,63,3,2024,265
301,63,4,2024,306
302,63,5,2024,326
303,63,6,2024,326
304,63,7,2024,224
305,63,8,2024,183
306,63,9,2024,326
307,63,10,2024,326
308,63,11,2024,285
309,63,12,2024,92
310,63,1,2025,112
311,63,2,2025,224
312,63,3,2025,265
313,63,4,2025,347
314,63,5,2025,384
315,63,6,2025,401
316,63,7,2025,404
317,63,8,2025,335
318,63,9,2025,438
319,63,10,2025,424
320,63,11,2025,408
321,63,12,2025,184
322,63,1,2026,317
323,63,2,2026,355
324,63,3,2026,458
325,45,1,2024,111
326,45,2,2024,222
327,45,3,2024,263
328,45,4,2024,303
329,45,5,2024,324
330,45,6,2024,324
331,45,7,2024,222
332,45,8,2024,182
333,45,9,2024,324
334,45,10,2024,324
335,45,11,2024,283
336,45,12,2024,91
337,45,1,2025,111
338,45,2,2025,222
339,45,3,2025,263
340,45,4,2025,225
341,45,5,2025,249
342,45,6,2025,260
343,45,7,2025,262
344,45,8,2025,217
345,45,9,2025,283
346,45,10,2025,275
347,45,11,2025,264
348,45,12,2025,119
349,45,1,2026,205
350,45,2,2026,230
351,45,3,2026,297
352,29,1,2024,84
353,29,2,2024,168
354,29,3,2024,199
355,29,4,2024,230
356,29,5,2024,245
357,29,6,2024,245
358,29,7,2024,168
359,29,8,2024,138
360,29,9,2024,245
361,29,10,2024,245
362,29,11,2024,214
363,29,12,2024,69
364,29,1,2025,84
365,29,2,2025,168
366,29,3,2025,199
367,29,4,2025,153
368,29,5,2025,169
369,29,6,2025,176
370,29,7,2025,178
371,29,8,2025,147
372,29,9,2025,192
373,29,10,2025,186
374,29,11,2025,179
375,29,12,2025,81
376,29,1,2026,139
377,29,2,2026,156
378,29,3,2026,202
379,75,1,2024,56
380,75,2,2024,112
381,75,3,2024,133
382,75,4,2024,153
383,75,5,2024,163
384,75,6,2024,163
385,75,7,2024,112
386,75,8,2024,92
387,75,9,2024,163
388,75,10,2024,163
389,75,11,2024,143
390,75,12,2024,46
391,75,1,2025,56
392,75,2,2025,112
393,75,3,2025,133
394,75,4,2025,46
395,75,5,2025,51
396,75,6,2025,53
397,75,7,2025,53
398,75,8,2025,44
399,75,9,2025,58
400,75,10,2025,56
401,75,11,2025,54
402,75,12,2025,24
403,75,1,2026,42
404,75,2,2026,47
405,75,3,2026,61
406,8,1,2024,56
407,8,2,2024,112
408,8,3,2024,133
409,8,4,2024,153
410,8,5,2024,163
411,8,6,2024,163
412,8,7,2024,112
413,8,8,2024,92
414,8,9,2024,163
415,8,10,2024,163
416,8,11,2024,143
417,8,12,2024,46
418,8,1,2025,56
419,8,2,2025,112
420,8,3,2025,133
421,8,4,2025,31
422,8,5,2025,34
423,8,6,2025,36
424,8,7,2025,36
425,8,8,2025,30
426,8,9,2025,39
427,8,10,2025,38
428,8,11,2025,36
429,8,12,2025,16
430,8,1,2026,28
431,8,2,2026,32
432,8,3,2026,41
433,156,1,2024,51
434,156,2,2024,102
435,156,3,2024,120
436,156,4,2024,139
437,156,5,2024,148
438,156,6,2024,148
439,156,7,2024,102
440,156,8,2024,83
441,156,9,2024,148
442,156,10,2024,148
443,156,11,2024,130
444,156,12,2024,42
445,156,1,2025,51
446,156,2,2025,102
447,156,3,2025,120
448,156,4,2025,11
449,156,5,2025,12
450,156,6,2025,13
451,156,7,2025,13
452,156,8,2025,11
453,156,9,2025,14
454,156,10,2025,13
455,156,11,2025,13
456,156,12,2025,6
457,156,1,2026,10
458,156,2,2026,11
459,156,3,2026,14
460,113,1,2024,38
461,113,2,2024,75
462,113,3,2024,89
463,113,4,2024,103
464,113,5,2024,110
465,113,6,2024,110
466,113,7,2024,75
467,113,8,2024,62
468,113,9,2024,110
469,113,10,2024,110
470,113,11,2024,96
471,113,12,2024,31
472,113,1,2025,38
473,113,2,2025,75
474,113,3,2025,89
475,113,4,2025,56
476,113,5,2025,62
477,113,6,2025,65
478,113,7,2025,65
479,113,8,2025,54
480,113,9,2025,70
481,113,10,2025,68
482,113,11,2025,66
483,113,12,2025,30
484,113,1,2026,51
485,113,2,2026,57
486,113,3,2026,74
487,69,1,2024,37
488,69,2,2024,75
489,69,3,2024,89
490,69,4,2024,102
491,69,5,2024,109
492,69,6,2024,109
493,69,7,2024,75
494,69,8,2024,61
495,69,9,2024,109
496,69,10,2024,109
497,69,11,2024,95
498,69,12,2024,31
499,69,1,2025,37
500,69,2,2025,75
501,69,3,2025,89
502,69,4,2025,73
503,69,5,2025,81
504,69,6,2025,85
505,69,7,2025,85
506,69,8,2025,71
507,69,9,2025,92
508,69,10,2025,89
509,69,11,2025,86
510,69,12,2025,39
511,69,1,2026,67
512,69,2,2026,75
513,69,3,2026,97
514,114,1,2024,36
515,114,2,2024,72
516,114,3,2024,85
517,114,4,2024,98
518,114,5,2024,104
519,114,6,2024,104
520,114,7,2024,72
521,114,8,2024,59
522,114,9,2024,104
523,114,10,2024,104
524,114,11,2024,91
525,114,12,2024,29
526,114,1,2025,36
527,114,2,2025,72
528,114,3,2025,85
529,114,4,2025,25
530,114,5,2025,28
531,114,6,2025,29
532,114,7,2025,30
533,114,8,2025,25
534,114,9,2025,32
535,114,10,2025,31
536,114,11,2025,30
537,114,12,2025,13
538,114,1,2026,23
539,114,2,2026,26
540,114,3,2026,34
541,123,1,2024,31
542,123,2,2024,62
543,123,3,2024,73
544,123,4,2024,84
545,123,5,2024,90
546,123,6,2024,90
547,123,7,2024,62
548,123,8,2024,51
549,123,9,2024,90
550,123,10,2024,90
551,123,11,2024,79
552,123,12,2024,25
553,123,1,2025,31
554,123,2,2025,62
555,123,3,2025,73
556,123,4,2025,25
557,123,5,2025,27
558,123,6,2025,28
559,123,7,2025,29
560,123,8,2025,24
561,123,9,2025,31
562,123,10,2025,30
563,123,11,2025,29
564,123,12,2025,13
565,123,1,2026,22
566,123,2,2026,25
567,123,3,2026,32
568,40,1,2024,28
569,40,2,2024,56
570,40,3,2024,66
571,40,4,2024,76
572,40,5,2024,81
573,40,6,2024,81
574,40,7,2024,56
575,40,8,2024,46
576,40,9,2024,81
577,40,10,2024,81
578,40,11,2024,71
579,40,12,2024,23
580,40,1,2025,28
581,40,2,2025,56
582,40,3,2025,66
583,40,4,2025,0
584,40,5,2025,0
585,40,6,2025,0
586,40,7,2025,0
587,40,8,2025,0
588,40,9,2025,0
589,40,10,2025,0
590,40,11,2025,0
591,40,12,2025,0
592,40,1,2026,0
593,40,2,2026,0
594,40,3,2026,0
595,136,1,2024,25
596,136,2,2024,51
597,136,3,2024,60
598,136,4,2024,69
599,136,5,2024,74
600,136,6,2024,74
601,136,7,2024,51
602,136,8,2024,41
603,136,9,2024,74
604,136,10,2024,74
605,136,11,2024,64
606,136,12,2024,21
607,136,1,2025,25
608,136,2,2025,51
609,136,3,2025,60
610,136,4,2025,43
611,136,5,2025,48
612,136,6,2025,50
613,136,7,2025,50
614,136,8,2025,41
615,136,9,2025,54
616,136,10,2025,52
617,136,11,2025,50
618,136,12,2025,23
619,136,1,2026,39
620,136,2,2026,44
621,136,3,2026,57
622,159,1,2024,24
623,159,2,2024,48
624,159,3,2024,57
625,159,4,2024,66
626,159,5,2024,70
627,159,6,2024,70
628,159,7,2024,48
629,159,8,2024,40
630,159,9,2024,70
631,159,10,2024,70
632,159,11,2024,62
633,159,12,2024,20
634,159,1,2025,24
635,159,2,2025,48
636,159,3,2025,57
637,159,4,2025,16
638,159,5,2025,17
639,159,6,2025,18
640,159,7,2025,18
641,159,8,2025,15
642,159,9,2025,20
643,159,10,2025,19
644,159,11,2025,18
645,159,12,2025,8
646,159,1,2026,14
647,159,2,2026,16
648,159,3,2026,21
649,168,1,2024,24
650,168,2,2024,47
651,168,3,2024,56
652,168,4,2024,64
653,168,5,2024,69
654,168,6,2024,69
655,168,7,2024,47
656,168,8,2024,39
657,168,9,2024,69
658,168,10,2024,69
659,168,11,2024,60
660,168,12,2024,19
661,168,1,2025,24
662,168,2,2025,47
663,168,3,2025,56
664,168,4,2025,83
665,168,5,2025,92
666,168,6,2025,96
667,168,7,2025,97
668,168,8,2025,80
669,168,9,2025,105
670,168,10,2025,102
671,168,11,2025,98
